r   <12|H_so|12>  <13|H_so|13> <14|H_so|14>    <15|H_so|15>   <16|H_so|16>  <17|H_so|17> <18|H_so|18>    <19|H_so|19>   <20|H_so|20>
1.97    100027.89  106447.45    112036.78  100027.89    106447.45  112036.78    100027.89  106447.45    112036.78
1.98    99822.90   106395.17 111858.11   99822.90  106395.17    111858.11  99822.90 106395.17   111858.11
1.99    99625.44   106345.54 111686.95   99625.44  106345.54    111686.95  99625.44 106345.54   111686.95
2.00    99435.23   106298.45 111523.01   99435.23  106298.45    111523.01  99435.23 106298.45   111523.01
2.01    99252.01   106253.79 111366.01   99252.01  106253.79    111366.01  99252.01 106253.79   111366.01
2.02    99075.54   106211.47 111215.70   99075.54  106211.47    111215.70  99075.54 106211.47   111215.70
2.03    98905.53   106171.33 111071.81   98905.53  106171.33    111071.81  98905.53 106171.33   111071.81
2.04    98741.78   106133.33 110934.10   98741.78  106133.33    110934.10  98741.78 106133.33   110934.10
2.05    98584.06   106097.38 110802.32   98584.06  106097.38    110802.32  98584.06 106097.38   110802.32
2.06    98432.13   106063.34 110676.28   98432.13  106063.34    110676.28  98432.13 106063.34   110676.28
2.07    98285.78   106031.16 110555.70   98285.78  106031.16    110555.70  98285.78 106031.16   110555.70
2.08    98144.81   106000.75 110440.41   98144.81  106000.75    110440.41  98144.81 106000.75   110440.41
2.09    98009.03   105972.05 110330.19   98009.03  105972.05    110330.19  98009.03 105972.05   110330.19
2.10    97878.22   105944.95 110224.83   97878.22  105944.95    110224.83  97878.22 105944.95   110224.83
2.15    97292.64   105831.29 109764.54   97292.64  105831.29    109764.54  97292.64 105831.29   109764.54
2.20    96806.37   105748.46 109399.73   96806.37  105748.46    109399.73  96806.37 105748.46   109399.73
2.25    96401.91   105690.02 109112.26   96401.91  105690.02    109112.26  96401.91 105690.02   109112.26
2.30    96064.70   105650.77 108887.03   96064.70  105650.77    108887.03  96064.70 105650.77   108887.03
2.35    95782.74   105626.57 108711.57   95782.74  105626.57    108711.57  95782.74 105626.57   108711.57
2.40    95545.91   105614.00 108575.50   95545.91  105614.00    108575.50  95545.91 105614.00   108575.50
2.45    95346.04   105610.36 108470.36   95346.04  105610.36    108470.36  95346.04 105610.36   108470.36
2.50    95176.34   105613.43 108389.17   95176.34  105613.43    108389.17  95176.34 105613.43   108389.17
2.55    95031.26   105621.48 108326.25   95031.26  105621.48    108326.25  95031.26 105621.48   108326.25
2.60    94906.27   105633.10 108277.00   94906.27  105633.10    108277.00  94906.27 105633.10   108277.00
2.65    94797.64   105647.15 108237.69   94797.64  105647.15    108237.69  94797.64 105647.15   108237.69
2.70    94702.38   105662.77 108205.35   94702.38  105662.77    108205.35  94702.38 105662.77   108205.35
2.75    94618.06   105679.27 108177.62   94618.06  105679.27    108177.62  94618.06 105679.27   108177.62
2.80    94542.69   105696.09 108152.65   94542.69  105696.09    108152.65  94542.69 105696.09   108152.65
2.85    94474.71   105712.81 108129.00   94474.71  105712.81    108129.00  94474.71 105712.81   108129.00
2.90    94412.66   105729.17 108105.61   94412.66  105729.17    108105.61  94412.66 105729.17   108105.61
3.00    94303.51   105759.82 108056.63   94303.51  105759.82    108056.63  94303.51 105759.82   108056.63
3.10    94209.31   105786.97 108001.98   94209.31  105786.97    108001.98  94209.31 105786.97   108001.98
3.20    94126.70   105810.21 107940.39   94126.70  105810.21    107940.39  94126.70 105810.21   107940.39
3.30    94053.05   105829.50 107872.08   94053.05  105829.50    107872.08  94053.05 105829.50   107872.08
3.40    93987.15   105844.99 107798.16   93987.15  105844.99    107798.16  93987.15 105844.99   107798.16
3.50    93928.02   105856.96 107720.15   93928.02  105856.96    107720.15  93928.02 105856.96   107720.15
3.60    93875.11   105865.70 107639.78   93875.11  105865.70    107639.78  93875.11 105865.70   107639.78
3.70    93827.65   105871.50 107558.65   93827.65  105871.50    107558.65  93827.65 105871.50   107558.65
3.80    93785.60   105874.67 107478.24   93785.60  105874.67    107478.24  93785.60 105874.67   107478.24
