r   <12|H_so|21>  <13|H_so|22> <13|H_so|23>    <14|H_so|22>   <14|H_so|23>  <18|H_so|27> <19|H_so|28>    <19|H_so|29>   <20|H_so|28>  <20|H_so|29>
1.97    439.24 7.07    32.03  32.03    437.19 439.24  7.07 32.03   32.03 437.19
1.98    439.30 6.95    32.79  32.79    437.14 439.30  6.95 32.79   32.79 437.14
1.99    439.36 6.83    33.55  33.55    437.09 439.36  6.83 33.55   33.55 437.09
2.00    439.41 6.71    34.32  34.32    437.03 439.41  6.71 34.32   34.32 437.03
2.01    439.47 6.58    35.09  35.09    436.97 439.47  6.58 35.09   35.09 436.97
2.02    439.52 6.45    35.87  35.87    436.90 439.52  6.45 35.87   35.87 436.90
2.03    439.58 6.32    36.65  36.65    436.83 439.58  6.32 36.65   36.65 436.83
2.04    439.63 6.19    37.43  37.43    436.75 439.63  6.19 37.43   37.43 436.75
2.05    439.68 6.05    38.21  38.21    436.67 439.68  6.05 38.21   38.21 436.67
2.06    439.73 5.91    39.00  39.00    436.59 439.73  5.91 39.00   39.00 436.59
2.07    439.78 5.77    39.78  39.78    436.50 439.78  5.77 39.78   39.78 436.50
2.08    439.82 5.62    40.56  40.56    436.40 439.82  5.62 40.56   40.56 436.40
2.09    439.87 5.47    41.35  41.35    436.30 439.87  5.47 41.35   41.35 436.30
2.10    439.92 5.32    42.13  42.13    436.20 439.92  5.32 42.13   42.13 436.20
2.15    440.12 4.54    45.98  45.98    435.64 440.12  4.54 45.98   45.98 435.64
2.20    440.30 3.72    49.69  49.69    435.02 440.30  3.72 49.69   49.69 435.02
2.25    440.46 2.88    53.21  53.21    434.35 440.46  2.88 53.21   53.21 434.35
2.30    440.59 2.05    56.49  56.49    433.66 440.59  2.05 56.49   56.49 433.66
2.35    440.70 1.24    59.52  59.52    432.97 440.70  1.24 59.52   59.52 432.97
2.40    440.80 0.45    62.29  62.29    432.29 440.80  0.45 62.29   62.29 432.29
2.45    440.89 0.29    64.82  64.82    431.64 440.89  0.29 64.82   64.82 431.64
2.50    440.96 1.00    67.13  67.13    431.00 440.96  1.00 67.13   67.13 431.00
2.55    441.02 1.68    69.25  69.25    430.39 441.02  1.68 69.25   69.25 430.39
2.60    441.07 2.33    71.22  71.22    429.79 441.07  2.33 71.22   71.22 429.79
2.65    441.11 2.96    73.07  73.07    429.20 441.11  2.96 73.07   73.07 429.20
2.70    441.15 3.57    74.84  74.84    428.62 441.15  3.57 74.84   74.84 428.62
2.75    441.17 4.18    76.56  76.56    428.04 441.17  4.18 76.56   76.56 428.04
2.80    441.20 4.80    78.25  78.25    427.44 441.20  4.80 78.25   78.25 427.44
2.85    441.22 5.43    79.94  79.94    426.83 441.22  5.43 79.94   79.94 426.83
2.90    441.23 6.09    81.64  81.64    426.18 441.23  6.09 81.64   81.64 426.18
3.00    441.25 7.49    85.17  85.17    424.79 441.25  7.49 85.17   85.17 424.79
3.10    441.26 9.06    88.92  88.92    423.23 441.26  9.06 88.92   88.92 423.23
3.20    441.26 10.84   92.97 92.97   421.44    441.26 10.84   92.97 92.97   421.44
3.30    441.26 12.87   97.35 97.35   419.40    441.26 12.87   97.35 97.35   419.40
3.40    441.26 15.20   102.07    102.07 417.06  441.26   15.20 102.07  102.07   417.06
3.50    441.26 17.85   107.14    107.14 414.40  441.26   17.85 107.14  107.14   414.40
3.60    441.25 20.87   112.55    112.55 411.37  441.25   20.87 112.55  112.55   411.37
3.70    441.25 24.28   118.28    118.28 407.95  441.25   24.28 118.28  118.28   407.95
3.80    441.24 28.11   124.28    124.28 404.10  441.24   28.11 124.28  124.28   404.10
3.90    441.24 32.39   130.53    130.53 399.81  441.24   32.39 130.53  130.53   399.81
4.00    441.23 37.14   136.96    136.96 395.06  441.23   37.14 136.96  136.96   395.06
