r   <44|H_so|44>  <45|H_so|45> <46|H_so|46>
1.97    101240.17  106599.07    112174.63
1.98    101036.12  106547.26    111995.34
1.99    100839.65  106498.12    111823.57
2.00    100650.45  106451.53    111659.02
2.01    100468.28  106407.39    111501.45
2.02    100292.87  106365.59    111350.55
2.03    100123.95  106326.00    111206.07
2.04    99961.31   106288.57 111067.77
2.05    99804.72   106253.15 110935.43
2.06    99653.96   106219.67 110808.81
2.07    99508.78   106188.06 110687.68
2.08    99369.00   106158.24 110571.83
2.09    99234.43   106130.12 110461.08
2.10    99104.85   106103.62 110355.18
2.15    98525.63   105992.99 109892.36
2.20    98046.00   105913.26 109525.27
2.25    97648.34   105857.93 109235.76
2.30    97318.00   105821.76 109008.76
2.35    97042.83   105800.53 108831.73
2.40    96812.78   105790.85 108694.39
2.45    96619.56   105789.99 108588.19
2.50    96456.33   105795.75 108506.13
2.55    96317.49   105806.36 108442.50
2.60    96198.48   105820.44 108392.67
2.65    96095.54   105836.87 108352.85
2.70    96005.65   105854.79 108320.06
2.75    95926.60   105873.54 108291.89
2.80    95855.93   105892.58 108266.45
2.85    95792.30   105911.51 108242.27
2.90    95734.20   105930.03 108218.27
3.00    95632.28   105965.12 108167.78
3.10    95543.40   105996.85 108111.02
3.20    95464.89   106024.92 108046.66
3.30    95394.37   106049.35 107974.81
3.40    95330.78   106070.32 107896.60
3.50    95272.82   106088.19 107813.55
3.60    95220.25   106103.23 107727.39
3.70    95172.66   106115.75 107640.12
3.80    95129.73   106126.01 107552.62
3.90    95091.17   106134.25 107466.54
4.00    95056.68   106140.68 107382.98
4.10    95025.80   106145.50 107302.91
4.20    94998.60   106148.82 107226.76
4.30    94974.61   106150.81 107155.07
4.40    94953.55   106151.58 107088.14
4.50    94935.10   106151.23 107026.09
4.60    94919.25   106149.88 106968.96
4.70    94905.27   106147.56 106916.72
4.80    94893.26   106144.48 106869.20
4.90    94882.82   106140.62 106826.18
5.00    94873.85   106136.12 106787.47
5.10    94866.18   106131.11 106752.80
5.20    94859.62   106125.67 106721.87
5.30    94854.04   106119.91 106694.39
5.40    94849.30   106113.95 106670.05
5.50    94845.28   106107.88 106648.55
5.60    94841.90   106101.81 106629.61
5.70    94839.08   106095.80 106612.94
5.80    94836.71   106089.94 106598.29
5.90    94834.73   106084.29 106585.43
6.00    94833.08   106078.87 106574.14
6.20    94830.64   106068.95 106555.55
6.40    94828.97   106060.25 106541.20
6.60    94827.86   106052.83 106530.12
6.80    94827.16   106046.63 106521.54
7.00    94826.73   106041.52 106514.88
7.20    94826.48   106037.36 106509.72
7.40    94826.38   106034.03 106505.72
7.60    94826.34   106031.38 106502.62
7.80    94826.35   106029.28 106500.21
8.00    94826.41   106027.62 106498.34
8.20    94826.51   106026.37 106496.91
8.40    94826.55   106025.36 106495.79
8.60    94826.62   106024.60 106494.94
8.80    94826.68   106024.02 106494.29
9.00    94826.75   106023.58 106493.79
9.20    94826.83   106023.28 106493.43
9.40    94826.89   106023.04 106493.15
9.60    94826.95   106022.86 106492.94
9.80    94827.00   106022.72 106492.77
10.00   94827.05  106022.63    106492.66
10.50   94826.95  106022.50    106492.50
11.00   94827.02  106022.46    106492.25
