r   <47|H_so|47>  <48|H_so|48>
1.97    110441.13  110907.24
1.98    110242.76  110708.94
1.99    110052.20  110518.43
2.00    109869.13  110335.42
2.01    109693.29  110159.64
2.02    109524.44  109990.85
2.03    109362.29  109828.76
2.04    109206.62  109673.13
2.05    109057.17  109523.75
2.06    108913.76  109380.39
2.07    108776.09  109242.77
2.08    108644.00  109110.73
2.09    108517.27  108984.06
2.10    108395.70  108862.53
2.15    107858.71  108325.77
2.20    107424.52  107891.78
2.25    107074.95  107542.38
2.30    106794.85  107262.44
2.35    106571.66  107039.41
2.40    106394.91  106862.79
2.45    106255.99  106723.98
2.50    106147.73  106615.83
2.55    106064.28  106532.47
2.60    106000.79  106469.07
2.65    105953.31  106421.67
2.70    105918.60  106387.04
2.75    105894.02  106362.54
2.80    105877.43  106346.05
2.85    105866.93  106335.53
2.90    105861.40  106330.10
3.00    105860.43  106328.98
3.10    105868.20  106336.93
3.20    105880.47  106349.37
3.30    105894.74  106363.81
3.40    105909.47  106378.72
3.50    105923.79  106393.23
3.60    105937.24  106406.87
3.70    105949.60  106419.41
3.80    105960.79  106430.78
3.90    105970.82  106440.99
4.00    105979.77  106450.11
4.10    105987.72  106458.21
4.20    105994.77  106465.41
4.30    106001.01  106471.78
4.40    106006.54  106477.44
4.50    106011.43  106482.45
4.60    106015.76  106486.90
4.70    106019.60  106490.84
4.80    106023.02  106494.35
4.90    106026.04  106497.45
5.00    106029.50  106500.85
5.10    106031.89  106503.29
5.20    106034.02  106505.46
5.30    106035.91  106507.40
5.40    106037.72  106509.16
5.50    106039.20  106510.69
5.60    106040.53  106512.05
5.70    106041.71  106513.26
5.80    106042.76  106514.33
5.90    106043.70  106515.30
6.00    106044.43  106516.04
6.20    106045.83  106517.49
6.40    106046.95  106518.65
6.60    106047.88  106519.50
6.80    106048.59  106520.24
7.00    106049.14  106520.81
7.20    106049.59  106521.29
7.40    106049.93  106521.64
7.60    106050.20  106521.92
7.80    106050.41  106522.00
8.00    106050.58  106522.17
8.20    106050.72  106522.31
8.40    106050.93  106522.82
8.60    106051.02  106522.91
8.80    106051.09  106522.98
9.00    106051.15  106523.04
9.20    106051.20  106523.09
9.40    106051.25  106523.14
9.60    106051.29  106523.17
9.80    106051.32  106523.20
10.00   106051.34 106523.22
10.50   106051.68 106523.54
11.00   106051.71 106523.56
