r   <30|H_so|30>  <31|H_so|31> <32|H_so|32>    <33|H_so|33>   <34|H_so|34>  <35|H_so|35>
1.97    110057.96  110960.62    110057.96  110960.62    110057.96  110960.62
1.98    109859.84  110762.43    109859.84  110762.43    109859.84  110762.43
1.99    109669.61  110572.04    109669.61  110572.04    109669.61  110572.04
2.00    109486.78  110389.14    109486.78  110389.14    109486.78  110389.14
2.01    109311.19  110213.48    109311.19  110213.48    109311.19  110213.48
2.02    109142.58  110044.79    109142.58  110044.79    109142.58  110044.79
2.03    108980.67  109882.81    108980.67  109882.81    108980.67  109882.81
2.04    108825.23  109727.30    108825.23  109727.30    108825.23  109727.30
2.05    108676.03  109578.02    108676.03  109578.02    108676.03  109578.02
2.06    108532.84  109434.77    108532.84  109434.77    108532.84  109434.77
2.07    108395.41  109297.26    108395.41  109297.26    108395.41  109297.26
2.08    108263.54  109165.32    108263.54  109165.32    108263.54  109165.32
2.09    108137.05  109038.75    108137.05  109038.75    108137.05  109038.75
2.10    108015.61  108917.33    108015.61  108917.33    108015.61  108917.33
2.15    107479.72  108381.05    107479.72  108381.05    107479.72  108381.05
2.20    107046.54  107947.51    107046.54  107947.51    107046.54  107947.51
2.25    106697.92  107598.53    106697.92  107598.53    106697.92  107598.53
2.30    106418.69  107318.96    106418.69  107318.96    106418.69  107318.96
2.35    106196.29  107096.25    106196.29  107096.25    106196.29  107096.25
2.40    106020.27  106919.93    106020.27  106919.93    106020.27  106919.93
2.45    105881.99  106781.37    105881.99  106781.37    105881.99  106781.37
2.50    105774.30  106673.44    105774.30  106673.44    105774.30  106673.44
2.55    105691.35  106590.27    105691.35  106590.27    105691.35  106590.27
2.60    105628.31  106527.03    105628.31  106527.03    105628.31  106527.03
2.65    105580.77  106479.32    105580.77  106479.32    105580.77  106479.32
2.70    105546.38  106444.78    105546.38  106444.78    105546.38  106444.78
2.75    105522.09  106420.35    105522.09  106420.35    105522.09  106420.35
2.80    105505.76  106403.88    105505.76  106403.88    105505.76  106403.88
2.85    105495.60  106393.62    105495.60  106393.62    105495.60  106393.62
2.90    105490.24  106388.20    105490.24  106388.20    105490.24  106388.20
3.00    105489.69  106387.55    105489.69  106387.55    105489.69  106387.55
3.10    105497.60  106395.44    105497.60  106395.44    105497.60  106395.44
3.20    105509.93  106407.81    105509.93  106407.81    105509.93  106407.81
3.30    105524.20  106422.15    105524.20  106422.15    105524.20  106422.15
3.40    105538.88  106436.95    105538.88  106436.95    105538.88  106436.95
3.50    105553.14  106451.35    105553.14  106451.35    105553.14  106451.35
3.60    105566.51  106464.87    105566.51  106464.87    105566.51  106464.87
3.70    105578.77  106477.30    105578.77  106477.30    105578.77  106477.30
3.80    105589.85  106488.57    105589.85  106488.57    105589.85  106488.57
3.90    105599.76  106498.68    105599.76  106498.68    105599.76  106498.68
4.00    105608.59  106507.70    105608.59  106507.70    105608.59  106507.70
4.10    105616.41  106515.72    105616.41  106515.72    105616.41  106515.72
4.20    105623.34  106522.84    105623.34  106522.84    105623.34  106522.84
4.30    105629.45  106529.14    105629.45  106529.14    105629.45  106529.14
4.40    105634.87  106534.74    105634.87  106534.74    105634.87  106534.74
4.50    105639.64  106539.69    105639.64  106539.69    105639.64  106539.69
4.60    105644.14  106544.80    105644.14  106544.80    105644.14  106544.80
4.70    105647.84  106548.64    105647.84  106548.64    105647.84  106548.64
4.80    105651.13  106552.06    105651.13  106552.06    105651.13  106552.06
4.90    105654.03  106555.08    105654.03  106555.08    105654.03  106555.08
5.00    105656.60  106557.76    105656.60  106557.76    105656.60  106557.76
5.10    105658.88  106560.15    105658.88  106560.15    105658.88  106560.15
5.20    105660.91  106562.28    105660.91  106562.28    105660.91  106562.28
5.30    105662.71  106564.17    105662.71  106564.17    105662.71  106564.17
5.40    105664.27  106565.79    105664.27  106565.79    105664.27  106565.79
5.50    105665.70  106567.30    105665.70  106567.30    105665.70  106567.30
5.60    105666.96  106568.64    105666.96  106568.64    105666.96  106568.64
5.70    105668.09  106569.84    105668.09  106569.84    105668.09  106569.84
5.80    105669.09  106570.92    105669.09  106570.92    105669.09  106570.92
5.90    105670.00  106571.91    105670.00  106571.91    105670.00  106571.91
6.00    105670.79  106572.76    105670.79  106572.76    105670.79  106572.76
6.20    105672.12  106574.19    105672.12  106574.19    105672.12  106574.19
6.40    105673.13  106575.18    105673.13  106575.18    105673.13  106575.18
6.60    105673.91  106575.98    105673.91  106575.98    105673.91  106575.98
6.80    105674.71  106576.86    105674.71  106576.86    105674.71  106576.86
7.00    105675.27  106577.45    105675.27  106577.45    105675.27  106577.45
7.20    105675.69  106577.89    105675.69  106577.89    105675.69  106577.89
7.40    105676.04  106578.25    105676.04  106578.25    105676.04  106578.25
7.60    105676.33  106578.54    105676.33  106578.54    105676.33  106578.54
7.80    105676.55  106578.76    105676.55  106578.76    105676.55  106578.76
8.00    105676.73  106578.93    105676.73  106578.93    105676.73  106578.93
8.20    105676.88  106579.08    105676.88  106579.08    105676.88  106579.08
8.40    105677.06  106579.20    105677.06  106579.20    105677.06  106579.20
8.60    105677.15  106579.29    105677.15  106579.29    105677.15  106579.29
8.80    105677.22  106579.36    105677.22  106579.36    105677.22  106579.36
9.00    105677.28  106579.42    105677.28  106579.42    105677.28  106579.42
9.20    105677.37  106579.56    105677.37  106579.56    105677.37  106579.56
9.40    105677.41  106579.61    105677.41  106579.61    105677.41  106579.61
9.60    105677.45  106579.65    105677.45  106579.65    105677.45  106579.65
9.80    105677.48  106579.67    105677.48  106579.67    105677.48  106579.67
10.00   105677.51 106579.70   105677.51 106579.70   105677.51 106579.70
10.50   105677.57 106579.74   105677.57 106579.74   105677.57 106579.74
11.00   105677.64 106579.79   105677.64 106579.79   105677.64 106579.79
