R	<36|d/dR|37>	<36|d/dR|38>	<36|d/dR|40>	<37|d/dR|38>	<37|d/dR|40>	<38|d/dR|40>
1.97	0.02720249	-0.0122198012	0.00755789513	0.229235866	0.02668105	0.652410239
1.98	0.02654111	-0.0128308926	0.00732997621	0.221755845	0.02840287	0.679403767
1.99	0.02588332	-0.0134222275	0.00708860861	0.214451064	0.03011642	0.707382027
2	0.02522915	-0.0139941071	0.00683377489	0.207315971	0.03181844	0.736341632
2.01	0.02457867	-0.0145467989	0.00656545232	0.200345009	0.03350566	0.766271255
2.02	0.02393193	-0.0150805318	0.00628361791	0.193532627	0.03517477	0.797150332
2.03	0.02328899	-0.0155954966	0.00598825059	0.186873333	0.03682246	0.82894764
2.04	0.02264991	-0.0160918501	0.00567933343	0.180361701	0.03844537	0.861619815
2.05	0.02201474	-0.0165697051	0.00535686183	0.173992408	0.04004009	0.895109774
2.06	0.02138353	-0.0170291446	0.00502084374	0.167760248	0.04160319	0.929345103
2.07	0.02075636	-0.0174702076	0.00467130837	0.16166018	0.04313119	0.964236471
2.08	0.02013326	-0.0178929011	0.00430831119	0.155687337	0.04462055	0.999676102
2.09	0.01951431	-0.0182971949	0.0039319391	0.14983706	0.04606771	1.03553634
2.1	0.01889953	-0.0186830267	0.00354231929	0.144104936	0.04746904	1.07166845
2.15	0.0158902	-0.0203312294	0.00140365994	0.117081947	0.05365929	1.24965477
2.2	0.01299227	-0.0214971291	-0.00101161482	0.0925326244	0.05815626	1.40001137
2.25	0.01020974	-0.0221687491	-0.00360414163	0.0703073313	0.06057296	1.48670008
2.3	0.00754495	-0.0223665237	-0.0062250657	0.0504778236	0.06072469	1.48321937
2.35	0.0049986	-0.0221600459	-0.00870967846	0.0332051828	0.05873837	1.38941854
2.4	0.00256995	-0.0216574537	-0.0109252732	0.0185642741	0.05503072	1.23158665
2.45	2.5705E-4	-0.0209745249	-0.0127999802	0.00644724577	0.05015821	1.04572066
2.5	-0.001943	-0.0202072194	-0.0143196457	-0.00341300789	0.04465186	0.86094881
