R	<12|d/dR|13>	<12|d/dR|14>	<13|d/dR|14>	<15|d/dR|16>	<15|d/dR|17>	<16|d/dR|17>	<18|d/dR|19>	<18|d/dR|20>	<19|d/dR|20>
1.97	0.0448841	-0.159314434	0.33176792	0.0448841	-0.159314434	0.33176792	0.0448841	-0.159314434	0.33176792
1.98	0.04260274	-0.155071395	0.34011754	0.04260274	-0.155071395	0.34011754	0.04260274	-0.155071395	0.34011754
1.99	0.04054042	-0.150909134	0.34845706	0.04054042	-0.150909134	0.34845706	0.04054042	-0.150909134	0.34845706
2	0.03866867	-0.146826187	0.35676551	0.03866867	-0.146826187	0.35676551	0.03866867	-0.146826187	0.35676551
2.01	0.03696329	-0.142821109	0.36502098	0.03696329	-0.142821109	0.36502098	0.03696329	-0.142821109	0.36502098
2.02	0.03540357	-0.138892478	0.3732007	0.03540357	-0.138892478	0.3732007	0.03540357	-0.138892478	0.3732007
2.03	0.03397168	-0.135038903	0.38128113	0.03397168	-0.135038903	0.38128113	0.03397168	-0.135038903	0.38128113
2.04	0.03265222	-0.131259022	0.38923805	0.03265222	-0.131259022	0.38923805	0.03265222	-0.131259022	0.38923805
2.05	0.03143178	-0.127551504	0.3970467	0.03143178	-0.127551504	0.3970467	0.03143178	-0.127551504	0.3970467
2.06	0.0302987	-0.123915046	0.40468186	0.0302987	-0.123915046	0.40468186	0.0302987	-0.123915046	0.40468186
2.07	0.02924274	-0.120348384	0.41211811	0.02924274	-0.120348384	0.41211811	0.02924274	-0.120348384	0.41211811
2.08	0.0282549	-0.116850285	0.41932989	0.0282549	-0.116850285	0.41932989	0.0282549	-0.116850285	0.41932989
2.09	0.02732724	-0.113419544	0.42629175	0.02732724	-0.113419544	0.42629175	0.02732724	-0.113419544	0.42629175
2.1	0.02645273	-0.110054998	0.43297852	0.02645273	-0.110054998	0.43297852	0.02645273	-0.110054998	0.43297852
2.15	0.02268158	-0.0941864133	0.46145181	0.02268158	-0.0941864133	0.46145181	0.02268158	-0.0941864133	0.46145181
2.2	0.01954215	-0.0798142508	0.47980966	0.01954215	-0.0798142508	0.47980966	0.01954215	-0.0798142508	0.47980966
2.25	0.01670666	-0.0668216576	0.4864743	0.01670666	-0.0668216576	0.4864743	0.01670666	-0.0668216576	0.4864743
2.3	0.01399334	-0.0551015273	0.4813836	0.01399334	-0.0551015273	0.4813836	0.01399334	-0.0551015273	0.4813836
2.35	0.01131311	-0.0445526421	0.46604233	0.01131311	-0.0445526421	0.46604233	0.01131311	-0.0445526421	0.46604233
2.4	0.00863618	-0.0350779292	0.44315839	0.00863618	-0.0350779292	0.44315839	0.00863618	-0.0350779292	0.44315839
2.45	0.00596862	-0.0265846159	0.41602018	0.00596862	-0.0265846159	0.41602018	0.00596862	-0.0265846159	0.41602018
2.5	0.00333478	-0.018985523	0.38785704	0.00333478	-0.018985523	0.38785704	0.00333478	-0.018985523	0.38785704
2.55	7.6498E-4	-0.0122005944	0.36137314	7.6498E-4	-0.0122005944	0.36137314	7.6498E-4	-0.0122005944	0.36137314
2.6	-0.00171229	-0.00615801007	0.33852448	-0.00171229	-0.00615801007	0.33852448	-0.00171229	-0.00615801007	0.33852448
2.65	-0.00407438	-7.94551418E-4	0.32050501	-0.00407438	-7.94551418E-4	0.32050501	-0.00407438	-7.94551418E-4	0.32050501
2.7	-0.00630575	0.00394469484	0.3078602	-0.00630575	0.00394469484	0.3078602	-0.00630575	0.00394469484	0.3078602
2.75	-0.00839761	0.00810716256	0.30065055	-0.00839761	0.00810716256	0.30065055	-0.00839761	0.00810716256	0.30065055
2.8	-0.0103466	0.0117338561	0.29861155	-0.0103466	0.0117338561	0.29861155	-0.0103466	0.0117338561	0.29861155
2.85	-0.01215338	0.0148605352	0.30128425	-0.01215338	0.0148605352	0.30128425	-0.01215338	0.0148605352	0.30128425
2.9	-0.01382106	0.017518836	0.30810926	-0.01382106	0.017518836	0.30810926	-0.01382106	0.017518836	0.30810926
3	-0.01675707	0.0215423062	0.33180774	-0.01675707	0.0215423062	0.33180774	-0.01675707	0.0215423062	0.33180774
3.1	-0.01918938	0.0240107648	0.36488089	-0.01918938	0.0240107648	0.36488089	-0.01918938	0.0240107648	0.36488089
3.2	-0.02114008	0.0251173604	0.40256565	-0.02114008	0.0251173604	0.40256565	-0.02114008	0.0251173604	0.40256565
3.3	-0.02261146	0.0250579112	0.44005394	-0.02261146	0.0250579112	0.44005394	-0.02261146	0.0250579112	0.44005394
