R	<44|d/dR|45>	<44|d/dR|46>	<45|d/dR|46>
1.97	0.0763925	-0.16265752	0.234792462
1.98	0.07140601	-0.15842075	0.240748244
1.99	0.0669492	-0.15426158	0.246739586
2	0.06294875	-0.15017873	0.252753183
2.01	0.05934342	-0.14617088	0.258775225
2.02	0.05608172	-0.14223675	0.264791391
2.03	0.05312011	-0.13837502	0.270786854
2.04	0.05042155	-0.13458441	0.27674631
2.05	0.04795435	-0.13086363	0.282654013
2.06	0.0456913	-0.12721143	0.288493817
2.07	0.04360888	-0.12362658	0.294249257
2.08	0.04168672	-0.12010787	0.299903599
2.09	0.03990706	-0.11665409	0.305439946
2.1	0.03825437	-0.11326409	0.310841313
2.15	0.03147143	-0.09723203	0.335237034
2.2	0.02637038	-0.08263533	0.353863921
2.25	0.02226133	-0.06935673	0.365220736
2.3	0.01874307	-0.05729084	0.36863381
2.35	0.01558079	-0.046341	0.364451537
2.4	0.01264133	-0.03641727	0.353997206
2.45	0.00985469	-0.02743555	0.339294488
2.5	0.00718924	-0.01931771	0.322669599
2.55	0.00463477	-0.0119922	0.306365642
2.6	0.00219114	-0.00539465	0.292268782
2.65	-1.3876E-4	5.3175E-4	0.281780611
2.7	-0.00235298	0.00583638	0.275815126
2.75	-0.00445224	0.01056159	0.274874078
2.8	-0.00644023	0.01474346	0.279153688
2.85	-0.00832318	0.01841258	0.28864976
2.9	-0.01010914	0.02159494	0.303243012
3	-0.01342607	0.02658508	0.346987356
3.1	-0.01646013	0.02985843	0.408648237
3.2	-0.01926089	0.03153129	0.485646726
3.3	-0.02183872	0.03171512	0.573079705
3.4	-0.02414713	0.03054947	0.661621786
3.5	-0.02607346	0.02824453	0.736503722
3.6	-0.02745361	0.0251134	0.780363832
3.7	-0.0281223	0.02155277	0.780937802
3.8	-0.0279813	0.01795588	0.738506672
3.9	-0.02704057	0.01461228	0.665565728
4	-0.02540558	0.01166825	0.579024512
4.1	-0.02323111	0.00915544	0.492614722
4.2	-0.02067719	0.00704243	0.414198746
4.3	-0.01788435	0.00527443	0.346772537
4.4	-0.01496574	0.00379448	0.290459783
4.5	-0.01200839	0.00255186	0.244084746
4.6	-0.00907756	0.00150432	0.206081971
4.7	-0.0062214	6.1879E-4	0.174925347
4.8	-0.00347449	-1.3491E-4	0.149291731
4.9	-8.6101E-4	-7.7763E-4	0.128091187
5	0.00160313	-0.00132735	0.110451097
5.1	0.00390862	-0.00179873	0.0956806411
5.2	0.0060513	-0.0022038	0.0832350333
5.3	0.00803107	-0.00255252	0.0726843918
5.4	0.0098509	-0.00285319	0.0636883625
5.5	0.01151608	-0.00311274	0.0559761747
5.6	0.01303353	-0.00333703	0.0493311881
5.7	0.01441131	-0.003531	0.0435790111
5.8	0.01565815	-0.00369885	0.038578373
5.9	0.01678311	-0.00384417	0.0342141034
6	0.01779536	-0.00397001	0.0303916884
6.2	0.01951754	-0.00417337	0.0240735539
6.4	0.02089294	-0.00432578	0.0191434872
6.6	0.02198283	-0.00443979	0.015262712
6.8	0.02284038	-0.00452478	0.0121871788
7	0.02351074	-0.00458783	0.00973758541
7.2	0.02403162	-0.00463435	0.00777980728
7.4	0.02443415	-0.00466844	0.00621181305
7.6	0.02474372	-0.00469325	0.00495479472
7.8	0.0249808	-0.00471117	0.00394702808
8	0.02516174	-0.00472403	0.00313959759
8.2	0.02529947	-0.00473319	0.00249337871
8.4	0.02540406	-0.00473965	0.00197687833
8.6	0.02548333	-0.00474418	0.00156466103
8.8	0.02554329	-0.00474731	0.0012361698
9	0.02558854	-0.00474944	9.74794638E-4
9.2	0.02562257	-0.00475086	7.6714811E-4
9.4	0.02564808	-0.00475177	6.02465905E-4
9.6	0.0256671	-0.00475233	4.72099417E-4
9.8	0.02568121	-0.00475265	3.69121598E-4
10	0.0256916	-0.00475279	2.87967315E-4
10.5	0.02571	-0.00475266	1.59547E-4
11	0.02571356	-0.00475254	8.10171876E-5
