E	J	a
10	0	5159.418812128552
10	5	5161.159117559552
10	10	5173.918404938585
10	15	5188.594083857117
10	20	5208.922192888009
10	25	5235.853946313522
10	30	5271.4140506922495
10	35	5310.442369854388
10	40	5357.338061993317
10	45	5407.212495628051
10	50	5472.222193901629
10	55	5530.625969379749
10	60	5601.896742891447
10	65	5678.395091740267
10	70	5756.939410408276
10	75	5844.608605032807
10	80	5938.8253345202165
10	85	6038.01545563556
10	90	6148.425168252606
10	95	6256.985718580311
10	100	6382.214619114463
10	105	6499.805895667413
10	110	6628.252275168124
10	115	6764.799113058059
10	120	6911.601058261016
10	125	7057.193919044908
10	130	7206.613267006423
10	135	7375.406886974076
10	140	7532.05347724614
10	145	7707.391965801659
10	150	7891.051386852991
10	155	8066.67973956766
10	160	8254.514047636938
10	165	8449.914481375756
10	170	8651.358786956831
10	175	8858.661751196896
10	180	9072.717986859676
10	185	9296.122813092974
10	190	9527.079705101329
10	195	9750.898341798353
20	0	3891.8190382745915
20	5	3898.608919485614
20	10	3902.324943389958
20	15	3915.3868759217703
20	20	3938.053926978626
20	25	3959.0092445587366
20	30	3988.4004950716235
20	35	4017.9059178595235
20	40	4055.816601867086
20	45	4101.600952794645
20	50	4147.377415839626
20	55	4201.55120793208
20	60	4258.751399647749
20	65	4322.835321433088
20	70	4390.161014420375
20	75	4465.020542922925
20	80	4542.9148769389185
20	85	4624.22023132618
20	90	4714.24102265113
20	95	4805.86643395283
20	100	4908.068258676125
20	105	5010.93068426227
20	110	5118.304482928692
20	115	5234.216075804588
20	120	5348.015361330502
20	125	5468.076028789464
20	130	5603.012193076858
20	135	5729.024764149452
20	140	5872.06626242146
20	145	6011.507705000616
20	150	6157.147313171527
20	155	6310.59164583968
20	160	6469.1584710467205
20	165	6632.049702121927
20	170	6799.102601626505
20	175	6970.607248431977
20	180	7147.491532562034
20	185	7332.456540961952
20	190	7525.529348079438
20	195	7711.25125311697
30	0	11434.063602299995
30	5	11444.982716746752
30	10	11476.162926523271
30	15	11518.41452412891
30	20	11580.781470716773
30	25	11648.486936152774
30	30	11742.425695219963
30	35	11850.336466720437
30	40	11974.626130151519
30	45	12114.396191927399
30	50	12286.867427589688
30	55	12452.289068145386
30	60	12651.578484270325
30	65	12845.602018006832
30	70	13083.028203294827
30	75	13315.020047351298
30	80	13578.100852244153
30	85	13839.664852487602
30	90	14123.152463158409
30	95	14430.807113125573
30	100	14762.573707599862
30	105	15104.928671744705
30	110	15458.452744838143
30	115	15818.458018772968
30	120	16195.704125295451
30	125	16605.789119711626
30	130	17020.51342203056
30	135	17465.310377781163
30	140	17901.93953434521
30	145	18374.754096340617
30	150	18867.501583018042
30	155	19375.964050906743
30	160	19895.44982054108
30	165	20425.57532948279
30	170	20966.496459718455
30	175	21522.34743711911
30	180	22095.958368543248
30	185	22694.91464430955
30	190	23334.669466180516
30	195	23939.246770257898
40	0	3962.555524894755
40	5	3966.401499850776
40	10	3976.587720051522
40	15	3991.8351619407563
40	20	4015.0412139610658
40	25	4044.01546442583
40	30	4080.5160213515405
40	35	4122.500445720475
40	40	4171.258112307337
40	45	4229.823670608585
40	50	4292.101914484694
40	55	4356.376124684361
40	60	4432.06849507928
40	65	4512.321480186218
40	70	4601.204558996751
40	75	4693.002629839126
40	80	4793.216571416963
40	85	4905.051219576822
40	90	5011.959999698856
40	95	5134.419689698885
40	100	5263.500976715484
40	105	5395.203453277585
40	110	5532.369748568083
40	115	5673.120268881739
40	120	5822.493429974496
40	125	5985.496856189403
40	130	6143.487313044006
40	135	6315.9408881140525
40	140	6498.505190869685
40	145	6674.805202827713
40	150	6862.044024225697
40	155	7057.145754982579
40	160	7258.994677741571
40	165	7467.988195415579
40	170	7686.243807293534
40	175	7910.46984855516
40	180	8131.449790272758
40	185	8362.39644328439
40	190	8612.077592144942
40	195	8850.217697262704
50	0	139575.7786492161
50	5	139733.7323113996
50	10	140153.59225606977
50	15	140835.63770116316
50	20	141776.26571131992
50	25	142963.01119927684
50	30	144452.3018391162
50	35	146133.76213278488
50	40	148172.7683692105
50	45	150343.11240478052
50	50	152870.73415556195
50	55	155587.64365211682
50	60	158607.19234237671
50	65	161930.11690524817
50	70	165458.65487439255
50	75	169200.31852829986
50	80	173304.08347517112
50	85	177613.43167510378
50	90	182116.49699059615
50	95	187056.87752305157
50	100	192188.495723067
50	105	197530.8368098717
50	110	203165.8575919458
50	115	208846.8824966902
50	120	214957.3751216924
50	125	221360.03156280145
50	130	228053.15553687437
50	135	234772.26524973143
50	140	241954.97652586395
50	145	249423.58998772176
50	150	257123.563741821
50	155	265026.3815691721
50	160	273133.08067006094
50	165	281471.45893946616
50	170	290091.9609801689
50	175	299144.14459147555
50	180	308468.11351018725
50	185	317657.61159767397
50	190	327515.58828668453
50	195	337399.7562365541
60	0	64605.33436504967
60	5	64690.79534589549
60	10	64920.693945343606
60	15	65293.683390052676
60	20	65792.72530322113
60	25	66444.0047079742
60	30	67237.15593577427
60	35	68165.68677769827
60	40	69249.34871511541
60	45	70462.92386085216
60	50	71810.53681788233
60	55	73305.21978314895
60	60	74938.24460276506
60	65	76716.94514081866
60	70	78633.59364598629
60	75	80695.74911207687
60	80	82891.52254700812
60	85	85261.53368963132
60	90	87714.65095802411
60	95	90380.77273599761
60	100	93087.14434314375
60	105	96028.61019977566
60	110	99066.53235508325
60	115	102205.58346860226
60	120	105570.99029254449
60	125	108989.7704503051
60	130	112693.06570288537
60	135	116355.05485141007
60	140	120184.49822335305
60	145	124190.08796052032
60	150	128341.6462121379
60	155	132638.72093638993
60	160	137108.61712098625
60	165	141817.52374831797
60	170	146408.20550034326
60	175	151184.1268359796
60	180	156279.3788694021
60	185	161351.8437358392
60	190	166574.22004711852
60	195	172053.40792214376
70	0	1397.036750369899
70	5	1399.2866372874605
70	10	1405.1208562981
70	15	1414.7593137655256
70	20	1428.0280603882898
70	25	1445.0946294472622
70	30	1465.7144668970452
70	35	1490.1152626912833
70	40	1518.161970814818
70	45	1549.946233111525
70	50	1585.346888677941
70	55	1624.4719405419166
70	60	1667.261214706736
70	65	1713.6951555166077
70	70	1763.9941091275416
70	75	1817.778297465314
70	80	1875.1078100403427
70	85	1936.2661654894193
70	90	2001.0776160714518
70	95	2069.692822287069
70	100	2141.9470777369206
70	105	2217.3852275232634
70	110	2297.6124124917524
70	115	2381.1026165296776
70	120	2467.517347616975
70	125	2557.1213064913686
70	130	2651.750470244347
70	135	2751.783930997634
70	140	2852.752166586467
70	145	2957.498908445292
70	150	3067.341458650323
70	155	3178.3792714075375
70	160	3292.3893139111624
70	165	3410.7557972002596
