R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
11	-529.5604771	-529.5120805	-529.5050499	-529.5051447	-529.5605398	-529.5052484	-529.5011451	-529.5605398	-529.5052484	-529.5011451	-529.5051299	-529.5010175	-529.9866377	-529.554851	-529.5037404	-529.5036904	-529.4935283	-529.5545706	-529.5035612	-529.5014177	-529.5545706	-529.5035612	-529.5014177	-529.5034297	-529.50128
10.8	-529.5604772	-529.5120807	-529.50505	-529.5051447	-529.56054	-529.5052484	-529.501145	-529.5605399	-529.5052485	-529.501145	-529.50513	-529.5010176	-529.9866377	-529.5548511	-529.5037403	-529.5036904	-529.493528	-529.5545708	-529.5035611	-529.5014176	-529.5545708	-529.5035611	-529.5014176	-529.5034298	-529.50128
10.6	-529.5604773	-529.5120808	-529.5050501	-529.5051446	-529.5605401	-529.5052484	-529.5011448	-529.5605401	-529.5052484	-529.5011448	-529.5051301	-529.5010177	-529.9866377	-529.5548512	-529.5037401	-529.5036906	-529.4935277	-529.5545709	-529.503561	-529.5014175	-529.5545709	-529.503561	-529.5014175	-529.5034299	-529.5012801
10.4	-529.5604774	-529.512081	-529.5050502	-529.5051444	-529.5605403	-529.5052484	-529.5011446	-529.5605403	-529.5052484	-529.5011446	-529.5051303	-529.5010178	-529.9866378	-529.5548515	-529.5037407	-529.5036894	-529.4935269	-529.5545711	-529.5035609	-529.5014173	-529.5545711	-529.5035609	-529.5014173	-529.5034301	-529.5012803
10.2	-529.5604775	-529.5120812	-529.5050504	-529.5051442	-529.5605405	-529.5052483	-529.5011443	-529.5605405	-529.5052483	-529.5011443	-529.5051322	-529.5010206	-529.9866378	-529.5548516	-529.5037403	-529.5036896	-529.4935264	-529.5545712	-529.5035606	-529.501417	-529.5545712	-529.5035606	-529.501417	-529.5034302	-529.5012803
10	-529.5604777	-529.5120814	-529.5050506	-529.5051438	-529.5605407	-529.5052481	-529.5011439	-529.5605407	-529.5052481	-529.5011439	-529.5051323	-529.5010207	-529.9866379	-529.5548517	-529.5037397	-529.5036898	-529.4935257	-529.5545714	-529.5035603	-529.5014166	-529.5545714	-529.5035603	-529.5014166	-529.5034303	-529.5012804
9.9	-529.5604778	-529.5120814	-529.5050507	-529.5051436	-529.5605409	-529.5052479	-529.5011436	-529.5605409	-529.5052479	-529.5011436	-529.5051324	-529.5010208	-529.9866379	-529.5548518	-529.5037394	-529.50369	-529.4935252	-529.5545715	-529.5035601	-529.5014164	-529.5545715	-529.5035601	-529.5014164	-529.5034303	-529.5012805
9.8	-529.5604779	-529.5120815	-529.5050508	-529.5051433	-529.560541	-529.5052478	-529.5011433	-529.560541	-529.5052478	-529.5011433	-529.5051325	-529.5010208	-529.9866379	-529.5548519	-529.503739	-529.5036901	-529.4935248	-529.5545716	-529.5035599	-529.5014161	-529.5545716	-529.5035599	-529.5014161	-529.5034304	-529.5012805
9.7	-529.5604779	-529.5120816	-529.5050509	-529.5051429	-529.5605411	-529.5052476	-529.5011429	-529.5605411	-529.5052476	-529.5011429	-529.5051326	-529.5010209	-529.9866379	-529.554852	-529.5037385	-529.5036902	-529.4935242	-529.5545717	-529.5035596	-529.5014157	-529.5545717	-529.5035596	-529.5014157	-529.5034304	-529.5012806
9.6	-529.560478	-529.5120817	-529.5050511	-529.5051425	-529.5605412	-529.5052473	-529.5011425	-529.5605412	-529.5052473	-529.5011425	-529.5051326	-529.501021	-529.9866379	-529.5548521	-529.503738	-529.5036904	-529.4935236	-529.5545708	-529.5035592	-529.5014153	-529.5545708	-529.5035592	-529.5014153	-529.5034305	-529.5012806
9.5	-529.5604781	-529.5120818	-529.5050512	-529.505142	-529.5605414	-529.5052471	-529.501142	-529.5605414	-529.5052471	-529.501142	-529.5051327	-529.501021	-529.986638	-529.5548522	-529.5037373	-529.5036906	-529.4935229	-529.5545709	-529.5035589	-529.5014149	-529.5545709	-529.5035588	-529.5014149	-529.5034306	-529.5012807
9.4	-529.5604782	-529.5120819	-529.5050514	-529.5051415	-529.5605415	-529.5052467	-529.5011415	-529.5605415	-529.5052467	-529.5011415	-529.5051328	-529.5010211	-529.986638	-529.5548523	-529.5037366	-529.5036907	-529.4935221	-529.5545711	-529.5035584	-529.5014144	-529.5545711	-529.5035584	-529.5014144	-529.5034307	-529.5012808
9.3	-529.5604784	-529.5120819	-529.5050516	-529.5051408	-529.5605417	-529.5052464	-529.5011408	-529.5605417	-529.5052464	-529.5011408	-529.5051329	-529.5010212	-529.986638	-529.5548524	-529.5037357	-529.503691	-529.4935212	-529.5545712	-529.5035579	-529.5014138	-529.5545712	-529.5035579	-529.5014138	-529.5034308	-529.5012809
9.2	-529.5604785	-529.512082	-529.5050518	-529.5051401	-529.5605417	-529.5052458	-529.50114	-529.5605417	-529.5052458	-529.50114	-529.505133	-529.5010213	-529.9866381	-529.5548525	-529.5037348	-529.5036912	-529.4935201	-529.5545713	-529.5035573	-529.5014131	-529.5545713	-529.5035572	-529.5014131	-529.5034308	-529.501281
9.1	-529.5604786	-529.512082	-529.505052	-529.5051392	-529.5605419	-529.5052453	-529.5011392	-529.5605419	-529.5052453	-529.5011392	-529.5051332	-529.5010214	-529.9866381	-529.5548526	-529.5037336	-529.5036915	-529.493519	-529.5545715	-529.5035565	-529.5014123	-529.5545715	-529.5035566	-529.5014123	-529.5034309	-529.5012811
9	-529.5604787	-529.512082	-529.5050523	-529.5051381	-529.560542	-529.5052447	-529.5011382	-529.5605421	-529.5052447	-529.5011382	-529.5051333	-529.5010216	-529.9866382	-529.5548527	-529.5037323	-529.5036917	-529.4935177	-529.5545716	-529.5035557	-529.5014114	-529.5545716	-529.5035557	-529.5014114	-529.5034311	-529.5012812
8.9	-529.5604789	-529.512082	-529.5050526	-529.5051369	-529.5605422	-529.505244	-529.5011371	-529.5605422	-529.505244	-529.5011371	-529.5051334	-529.5010217	-529.9866381	-529.5548529	-529.5037308	-529.503692	-529.4935163	-529.5545717	-529.5035548	-529.5014103	-529.5545717	-529.5035548	-529.5014103	-529.5034312	-529.5012813
8.8	-529.560479	-529.512082	-529.5050529	-529.5051355	-529.5605424	-529.5052431	-529.5011358	-529.5605424	-529.5052431	-529.5011358	-529.5051336	-529.5010219	-529.9866381	-529.5548531	-529.5037291	-529.5036924	-529.4935146	-529.5545719	-529.5035537	-529.5014091	-529.5545719	-529.5035537	-529.5014091	-529.5034314	-529.5012815
8.7	-529.5604792	-529.5120819	-529.5050533	-529.5051339	-529.5605426	-529.5052421	-529.5011344	-529.5605426	-529.5052422	-529.5011344	-529.5051338	-529.501022	-529.9866381	-529.5548532	-529.5037271	-529.5036928	-529.4935128	-529.554572	-529.5035525	-529.5014077	-529.5545721	-529.5035525	-529.5014077	-529.5034311	-529.5012816
8.6	-529.5604794	-529.5120818	-529.5050537	-529.5051321	-529.5605428	-529.505241	-529.5011327	-529.5605428	-529.5052411	-529.5011328	-529.5051339	-529.5010222	-529.9866379	-529.5548534	-529.5037249	-529.5036932	-529.4935115	-529.5545722	-529.5035511	-529.5014062	-529.5545722	-529.5035511	-529.5014062	-529.5034313	-529.5012818
8.5	-529.5604796	-529.5120816	-529.5050542	-529.5051299	-529.560543	-529.5052397	-529.5011308	-529.560543	-529.5052397	-529.5011308	-529.5051341	-529.5010224	-529.9866379	-529.5548535	-529.5037223	-529.5036937	-529.4935092	-529.5545724	-529.5035495	-529.5014044	-529.5545724	-529.5035495	-529.5014044	-529.5034315	-529.501282
8.4	-529.5604798	-529.5120814	-529.5050547	-529.5051275	-529.5605435	-529.5052384	-529.5011287	-529.5605435	-529.5052384	-529.5011287	-529.5051344	-529.5010227	-529.986638	-529.5548537	-529.5037194	-529.5036943	-529.4935065	-529.5545726	-529.5035478	-529.5014024	-529.5545726	-529.5035478	-529.5014024	-529.5034317	-529.5012822
8.3	-529.56048	-529.512081	-529.5050553	-529.5051246	-529.5605438	-529.5052366	-529.5011262	-529.5605438	-529.5052366	-529.5011262	-529.5051346	-529.5010229	-529.986638	-529.5548538	-529.503716	-529.5036949	-529.4935036	-529.5545728	-529.5035457	-529.5014001	-529.5545728	-529.5035457	-529.5014001	-529.5034319	-529.5012824
8.2	-529.5604804	-529.5120806	-529.5050559	-529.5051214	-529.560544	-529.5052346	-529.5011235	-529.560544	-529.5052346	-529.5011235	-529.5051349	-529.5010232	-529.986638	-529.5548538	-529.5037115	-529.5036956	-529.4934993	-529.5545729	-529.5035433	-529.5013974	-529.5545729	-529.5035433	-529.5013974	-529.5034322	-529.5012826
8.1	-529.560485	-529.512089	-529.5050614	-529.5051298	-529.5605444	-529.5052326	-529.5011208	-529.5605444	-529.5052326	-529.5011208	-529.505138	-529.5010271	-529.986638	-529.5548551	-529.5036939	-529.5037134	-529.4934967	-529.5545762	-529.5035431	-529.5013987	-529.5545762	-529.503543	-529.5013987	-529.5034344	-529.501285
